review_id,product_id,product_name,rating,review_text,review_date
1,P001,유기농 프로틴바,5,배송이 정말 빨랐고 포장도 깔끔했어요. 맛도 만족합니다.,2024-01-12
2,P001,유기농 프로틴바,4,맛은 좋은데 생각보다 조금 딱딱하네요.,2024-01-15
3,P001,유기농 프로틴바,2,배송이 너무 늦었어요. 일주일이나 걸렸습니다.,2024-01-18
4,P001,유기농 프로틴바,3,포장은 괜찮았지만 유통기한이 짧네요.,2024-01-20
5,P001,유기농 프로틴바,1,포장이 터져서 왔어요. 다시는 구매 안 할 것 같습니다.,2024-01-22
6,P001,유기농 프로틴바,5,재구매입니다. 간편하게 먹기 좋아요.,2024-01-25
7,P001,유기농 프로틴바,4,가격이 조금 비싸지만 품질은 좋습니다.,2024-01-28
8,P001,유기농 프로틴바,2,냄새가 약간 이상했어요.,2024-02-02
9,P001,유기농 프로틴바,5,다이어트 중인데 간식으로 딱입니다.,2024-02-05
10,P001,유기농 프로틴바,3,맛은 괜찮은데 배송 포장이 약했어요.,2024-02-08
11,P001,유기농 프로틴바,4,운동 후 먹기 좋고 휴대하기 편해요.,2024-02-10
12,P001,유기농 프로틴바,1,맛이 너무 달아서 못 먹겠어요.,2024-02-12
13,P001,유기농 프로틴바,5,포장 개선된 것 같네요. 아주 만족합니다.,2024-02-15
14,P001,유기농 프로틴바,2,크기가 생각보다 작아요.,2024-02-18
15,P001,유기농 프로틴바,4,재구매 의사 있습니다.,2024-02-20
